OrderID,CustomerID,InvoiceDate,Quantity,UnitPrice,ProductCategory,Country,OrderStatus,ShippingCost,DiscountPct,Revenue,NetRevenue
ORD0000001,CUST00392,2024-11-28 20:39:05,23.0,67.91,Beauty,Germany,Shipped,17.35,0.2106,1232.99,1215.64
ORD0000002,CUST00278,2024-01-17 09:55:15,6.0,316.75,Clothing,France,Cancelled,0.4,0.2163,1489.42,1489.02
ORD0000003,CUST00435,2024-07-06 07:17:16,22.0,65.47,Home & Garden,Australia,Returned,9.32,0.2185,1125.63,1116.3100000000002
ORD0000004,CUST00191,2024-08-29 01:02:24,18.0,289.88,Electronics,Italy,Processing,8.79,0.0,5217.84,5209.05
ORD0000005,CUST00162,2024-02-04 19:46:46,26.0,347.17,Electronics,United States,Returned,13.59,0.2862,6443.06,6429.47
ORD0000006,CUST00460,2023-03-03 18:47:23,6.0,350.75,Books,Sweden,Returned,1.82,0.2443,1590.37,1588.55
ORD0000007,CUST00252,2024-03-12 00:29:21,4.0,377.11,Home & Garden,Germany,Processing,19.75,0.2712,1099.35,1079.6
ORD0000008,CUST00392,2024-12-21 17:48:08,12.0,436.62,Sports,Australia,Completed,5.44,0.0047,5214.81,5209.370000000001
ORD0000009,CUST00262,2024-04-18 20:16:27,19.0,250.73,Toys,Netherlands,Processing,16.93,0.2802,3429.03,3412.1000000000004
ORD0000010,CUST00204,2024-03-27 06:03:17,29.0,365.53,Toys,United States,Processing,20.08,0.2429,8025.54,8005.46
ORD0000011,CUST00385,2024-08-11 22:54:32,27.0,310.16,Toys,Italy,Shipped,14.05,0.2512,6270.69,6256.639999999999
ORD0000012,CUST00066,2024-01-22 00:41:51,29.0,94.54,Clothing,Australia,Completed,18.52,0.028,2664.89,2646.37
ORD0000013,CUST00270,2024-11-06 09:44:08,2.0,14.31,Books,Italy,Processing,16.55,0.2216,22.28,5.73
ORD0000014,CUST00217,2024-07-04 18:15:58,17.0,143.34,Books,United States,Processing,8.89,0.288,1734.99,1726.1
ORD0000015,CUST00482,2024-07-29 00:19:21,11.0,222.35,Home & Garden,Germany,Cancelled,20.22,0.2036,1947.87,1927.6499999999999
ORD0000016,CUST00017,2024-07-14 03:24:30,11.0,309.13,Clothing,United Kingdom,Cancelled,7.37,0.1712,2818.28,2810.9100000000003
ORD0000017,CUST00178,2024-06-01 21:42:27,21.0,425.2,Electronics,France,Shipped,14.28,0.2837,6395.99,6381.71
ORD0000018,CUST00441,2024-09-23 13:08:23,16.0,99.33,Books,Netherlands,Shipped,18.63,0.1329,1378.06,1359.4299999999998
ORD0000019,CUST00398,2022-09-29 13:01:47,2.0,64.09,Books,Belgium,Processing,9.47,0.1798,105.13,95.66
ORD0000020,CUST00235,2022-07-06 23:39:03,2.0,481.79,Home & Garden,France,Processing,7.57,0.1429,825.88,818.31
ORD0000021,CUST00358,2024-07-20 06:01:19,23.0,55.36,Books,Netherlands,Returned,11.48,0.2799,916.89,905.41
ORD0000022,CUST00236,2023-05-06 08:19:55,8.0,240.03,Home & Garden,Australia,Completed,20.45,0.0228,1876.46,1856.01
ORD0000023,CUST00353,2024-01-04 06:28:01,13.0,293.4,Beauty,Australia,Shipped,23.25,0.1503,3240.93,3217.68
ORD0000024,CUST00007,2024-09-18 19:05:45,10.0,271.38,Toys,United States,Processing,13.63,0.2061,2154.49,2140.8599999999997
ORD0000025,CUST00108,2024-05-27 08:31:31,8.0,44.39,Clothing,Belgium,Shipped,16.54,0.2376,270.74,254.20000000000002
ORD0000027,CUST00167,2024-05-20 10:22:40,15.0,54.08,Electronics,United States,Shipped,2.46,0.2727,589.99,587.53
ORD0000028,CUST00314,2024-11-30 16:56:59,1.0,293.42,Beauty,France,Returned,5.8,0.2826,210.5,204.7
ORD0000029,CUST00133,2022-10-18 17:32:55,11.0,272.86,Books,Italy,Returned,17.72,0.0193,2943.53,2925.8100000000004
ORD0000030,CUST00281,2024-04-12 01:55:50,7.0,118.02,Books,United Kingdom,Shipped,20.59,0.1207,726.42,705.8299999999999
ORD0000031,CUST00122,2024-04-14 15:04:00,17.0,319.43,Home & Garden,Australia,Completed,21.43,0.007,5392.3,5370.87
ORD0000032,CUST00242,2024-08-26 02:21:26,27.0,410.3,Clothing,France,Returned,10.38,0.0988,9983.58,9973.2
ORD0000033,CUST00176,2023-07-23 10:38:28,20.0,22.23,Beauty,France,Completed,2.23,0.1611,372.97,370.74
ORD0000034,CUST00095,2024-07-12 16:52:24,24.0,249.82,Beauty,France,Returned,10.94,0.2732,4357.66,4346.72
ORD0000035,CUST00218,2024-03-22 18:18:17,18.0,345.12,Home & Garden,Belgium,Returned,5.77,0.254,4634.27,4628.5
ORD0000036,CUST00215,2024-09-29 03:06:54,22.0,127.28,Toys,United States,Shipped,7.28,0.0382,2693.19,2685.91
ORD0000037,CUST00386,2024-05-24 14:10:38,29.0,154.92,Sports,Italy,Completed,19.31,0.0279,4367.33,4348.0199999999995
ORD0000038,CUST00187,2024-11-27 18:53:46,22.0,307.4,Books,United Kingdom,Cancelled,1.89,0.1768,5567.14,5565.25
ORD0000039,CUST00206,2024-04-18 14:20:10,12.0,449.12,Electronics,Netherlands,Completed,20.69,0.1596,4529.29,4508.6
ORD0000040,CUST00231,2024-03-10 20:41:20,9.0,405.25,Toys,Spain,Processing,10.69,0.0799,3355.83,3345.14
ORD0000041,CUST00293,2024-02-20 22:18:20,5.0,292.19,Electronics,United States,Shipped,14.9,0.2698,1066.79,1051.8899999999999
ORD0000042,CUST00295,2022-12-22 01:35:09,10.0,365.52,Beauty,Belgium,Processing,2.24,0.2782,2638.32,2636.0800000000004
ORD0000043,CUST00417,2022-06-05 03:24:49,4.0,183.36,Home & Garden,Sweden,Returned,8.43,0.1208,644.84,636.4100000000001
ORD0000046,CUST00285,2024-06-16 20:34:14,28.0,96.18,Books,Netherlands,Returned,20.18,0.221,2097.88,2077.7000000000003
ORD0000047,CUST00439,2024-05-27 22:05:25,10.0,351.32,Home & Garden,Sweden,Shipped,11.49,0.1428,3011.52,3000.03
ORD0000048,CUST00101,2024-02-26 15:21:43,11.0,278.9,Electronics,Australia,Cancelled,5.59,0.0368,2955.0,2949.41
ORD0000049,CUST00410,2022-08-21 07:33:20,21.0,180.27,Electronics,Italy,Processing,23.34,0.2784,2731.74,2708.3999999999996
ORD0000050,CUST00243,2024-11-08 21:22:24,24.0,455.8,Beauty,Italy,Completed,8.61,0.1362,9449.28,9440.67
ORD0000051,CUST00005,2022-10-02 08:23:47,10.0,11.94,Toys,Belgium,Completed,4.02,0.2203,93.1,89.08
ORD0000052,CUST00216,2024-07-13 00:35:21,28.0,158.91,Electronics,Australia,Cancelled,14.08,0.1102,3959.15,3945.07
ORD0000053,CUST00069,2024-12-12 21:53:01,8.0,29.86,Sports,Spain,Cancelled,23.59,0.0057,237.52,213.93
ORD0000054,CUST00435,2024-09-01 22:06:09,2.0,383.61,Home & Garden,Italy,Cancelled,0.1,0.0302,744.05,743.9499999999999
ORD0000055,CUST00265,2024-04-09 12:18:49,23.0,351.5,Books,Germany,Processing,5.95,0.1489,6880.72,6874.77
ORD0000056,CUST00369,2024-05-02 14:47:28,8.0,166.68,Toys,Italy,Completed,23.46,0.207,1057.42,1033.96
ORD0000057,CUST00403,2024-07-07 23:37:44,16.0,338.32,Electronics,Belgium,Shipped,4.28,0.1004,4869.64,4865.360000000001
ORD0000058,CUST00154,2024-04-07 11:14:51,27.0,198.87,Sports,Netherlands,Processing,2.83,0.2086,4249.41,4246.58
ORD0000059,CUST00288,2024-11-29 09:49:06,22.0,378.49,Home & Garden,Germany,Completed,14.25,0.2096,6581.49,6567.24
ORD0000060,CUST00291,2024-01-19 12:40:58,5.0,227.91,Clothing,Germany,Processing,21.55,0.2112,898.88,877.33
ORD0000061,CUST00204,2024-02-08 10:30:43,27.0,207.02,Beauty,Germany,Completed,11.93,0.1478,4763.41,4751.48
ORD0000062,CUST00354,2024-03-04 10:27:24,25.0,467.46,Toys,Spain,Shipped,24.86,0.2745,8478.56,8453.699999999999
ORD0000064,CUST00417,2023-01-31 00:36:23,3.0,61.54,Books,France,Processing,1.85,0.1351,159.68,157.83
ORD0000065,CUST00244,2022-05-30 14:23:40,12.0,292.89,Toys,United States,Shipped,24.82,0.0598,3304.5,3279.68
ORD0000066,CUST00231,2024-10-16 04:06:42,13.0,484.71,Toys,United Kingdom,Returned,10.2,0.0923,5719.63,5709.43
ORD0000067,CUST00172,2024-04-10 21:13:25,13.0,189.85,Toys,Germany,Processing,7.19,0.0127,2436.71,2429.52
ORD0000068,CUST00185,2024-05-19 22:18:02,10.0,32.43,Books,Italy,Processing,13.95,0.1901,262.65,248.7
