OrderID,CustomerID,InvoiceDate,Quantity,UnitPrice,ProductCategory,Country,OrderStatus,ShippingCost,DiscountPct,Revenue
ORD0000001,CUST00392,2024-11-28 20:39:05,23.0,67.91,Beauty,Germany,Shipped,17.35,0.2106,1232.99
ORD0000002,CUST00278,2024-01-17 09:55:15,6.0,316.75,Clothing,France,Cancelled,0.4,0.2163,1489.42
ORD0000003,CUST00435,2024-07-06 07:17:16,22.0,65.47,Home & Garden,Australia,Returned,9.32,0.2185,1125.63
ORD0000004,CUST00191,2024-08-29 01:02:24,18.0,289.88,Electronics,Italy,Processing,8.79,0.0,5217.84
ORD0000005,CUST00162,2024-02-04 19:46:46,26.0,347.17,Electronics,United States,Returned,13.59,0.2862,6443.06
ORD0000006,CUST00460,2023-03-03 18:47:23,6.0,350.75,Books,Sweden,Returned,1.82,0.2443,1590.37
ORD0000007,CUST00252,2024-03-12 00:29:21,4.0,377.11,Home & Garden,Germany,Processing,19.75,0.2712,1099.35
ORD0000008,CUST00392,2024-12-21 17:48:08,12.0,436.62,Sports,Australia,Completed,5.44,0.0047,5214.81
ORD0000009,CUST00262,2024-04-18 20:16:27,19.0,250.73,Toys,Netherlands,Processing,16.93,0.2802,3429.03
ORD0000010,CUST00204,2024-03-27 06:03:17,29.0,365.53,Toys,United States,Processing,20.08,0.2429,8025.54
ORD0000011,CUST00385,2024-08-11 22:54:32,27.0,310.16,Toys,Italy,Shipped,14.05,0.2512,6270.69
ORD0000012,CUST00066,2024-01-22 00:41:51,29.0,94.54,Clothing,Australia,Completed,18.52,0.028,2664.89
ORD0000013,CUST00270,2024-11-06 09:44:08,2.0,14.31,Books,Italy,Processing,16.55,0.2216,22.28
ORD0000014,CUST00217,2024-07-04 18:15:58,17.0,143.34,Books,United States,Processing,8.89,0.288,1734.99
ORD0000015,CUST00482,2024-07-29 00:19:21,11.0,222.35,Home & Garden,Germany,Cancelled,20.22,0.2036,1947.87
ORD0000016,CUST00017,2024-07-14 03:24:30,11.0,309.13,Clothing,United Kingdom,Cancelled,7.37,0.1712,2818.28
ORD0000017,CUST00178,2024-06-01 21:42:27,21.0,425.2,Electronics,France,Shipped,14.28,0.2837,6395.99
ORD0000018,CUST00441,2024-09-23 13:08:23,16.0,99.33,Books,Netherlands,Shipped,18.63,0.1329,1378.06
ORD0000019,CUST00398,2022-09-29 13:01:47,2.0,64.09,Books,Belgium,Processing,9.47,0.1798,105.13
ORD0000020,CUST00235,2022-07-06 23:39:03,2.0,481.79,Home & Garden,France,Processing,7.57,0.1429,825.88
ORD0000021,CUST00358,2024-07-20 06:01:19,23.0,55.36,Books,Netherlands,Returned,11.48,0.2799,916.89
ORD0000022,CUST00236,2023-05-06 08:19:55,8.0,240.03,Home & Garden,Australia,Completed,20.45,0.0228,1876.46
ORD0000023,CUST00353,2024-01-04 06:28:01,13.0,293.4,Beauty,Australia,Shipped,23.25,0.1503,3240.93
ORD0000024,CUST00007,2024-09-18 19:05:45,10.0,271.38,Toys,United States,Processing,13.63,0.2061,2154.49
ORD0000025,CUST00108,2024-05-27 08:31:31,8.0,44.39,Clothing,Belgium,Shipped,16.54,0.2376,270.74
ORD0000026,CUST00298,2024-02-09 03:02:16,4.0,,Electronics,Sweden,Completed,22.58,0.1749,98.78
ORD0000027,CUST00167,2024-05-20 10:22:40,15.0,54.08,Electronics,United States,Shipped,2.46,0.2727,589.99
ORD0000028,CUST00314,2024-11-30 16:56:59,1.0,293.42,Beauty,France,Returned,5.8,0.2826,210.5
ORD0000029,CUST00133,2022-10-18 17:32:55,11.0,272.86,Books,Italy,Returned,17.72,0.0193,2943.53
ORD0000030,CUST00281,2024-04-12 01:55:50,7.0,118.02,Books,United Kingdom,Shipped,20.59,0.1207,726.42
ORD0000031,CUST00122,2024-04-14 15:04:00,17.0,319.43,Home & Garden,Australia,Completed,21.43,0.007,5392.3
ORD0000032,CUST00242,2024-08-26 02:21:26,27.0,410.3,Clothing,France,Returned,10.38,0.0988,9983.58
ORD0000033,CUST00176,2023-07-23 10:38:28,20.0,22.23,Beauty,France,Completed,2.23,0.1611,372.97
ORD0000034,CUST00095,2024-07-12 16:52:24,24.0,249.82,Beauty,France,Returned,10.94,0.2732,4357.66
ORD0000035,CUST00218,2024-03-22 18:18:17,18.0,345.12,Home & Garden,Belgium,Returned,5.77,0.254,4634.27
ORD0000036,CUST00215,2024-09-29 03:06:54,22.0,127.28,Toys,United States,Shipped,7.28,0.0382,2693.19
ORD0000037,CUST00386,2024-05-24 14:10:38,29.0,154.92,Sports,Italy,Completed,19.31,0.0279,4367.33
ORD0000038,CUST00187,2024-11-27 18:53:46,22.0,307.4,Books,United Kingdom,Cancelled,1.89,0.1768,5567.14
ORD0000039,CUST00206,2024-04-18 14:20:10,12.0,449.12,Electronics,Netherlands,Completed,20.69,0.1596,4529.29
ORD0000040,CUST00231,2024-03-10 20:41:20,9.0,405.25,Toys,Spain,Processing,10.69,0.0799,3355.83
