TransactionID,OrderID,CustomerID,TransactionDate,Amount,PaymentMethod,Status,Currency
TXN00000001,ORD0002255,CUST00063,2023-03-08 23:49:22,1839.0,Bank Transfer,Success,USD
TXN00000002,ORD0000567,CUST00316,2022-10-22 08:56:31,1556.9,Bank Transfer,Success,GBP
TXN00000003,ORD0000799,CUST00361,2024-01-29 10:01:48,1625.68,PayPal,Success,EUR
TXN00000004,ORD0001290,CUST00093,2023-01-29 16:23:12,1149.62,PayPal,Success,EUR
TXN00000005,ORD0001268,CUST00016,2024-07-21 06:27:15,384.36,Credit Card,Success,USD
TXN00000006,ORD0001674,CUST00240,2022-01-17 04:50:51,1355.7,Bank Transfer,Success,GBP
TXN00000007,ORD0002412,CUST00338,2024-08-31 06:59:45,1426.94,Debit Card,Pending,GBP
TXN00000008,ORD0001296,CUST00241,2024-12-11 19:08:02,1970.84,PayPal,Refunded,GBP
TXN00000009,ORD0000401,CUST00410,2023-09-07 08:08:00,1084.9,PayPal,Success,USD
TXN00000010,ORD0000143,CUST00140,2022-03-06 22:23:33,546.38,PayPal,Success,EUR
TXN00000011,ORD0000015,CUST00183,2024-12-17 04:49:35,1368.93,Debit Card,Success,USD
TXN00000012,ORD0000814,CUST00166,2023-11-29 16:42:47,1958.85,Credit Card,Success,USD
TXN00000013,ORD0000070,CUST00482,2022-07-20 05:18:07,358.54,Debit Card,Success,USD
TXN00000014,ORD0001873,CUST00249,2024-10-26 21:03:11,655.37,Credit Card,Success,EUR
TXN00000015,ORD0001656,CUST00049,2024-12-07 02:23:59,1086.05,Credit Card,Success,GBP
TXN00000016,ORD0000748,CUST00017,2022-12-13 09:05:43,344.58,Bank Transfer,Success,EUR
TXN00000017,ORD0000015,CUST00482,2022-04-20 13:20:18,49.33,Bank Transfer,Success,USD
TXN00000018,ORD0001516,CUST00141,2024-09-17 11:20:28,677.28,Debit Card,Success,GBP
TXN00000019,ORD0001143,CUST00092,2022-06-27 16:24:34,1731.41,PayPal,Success,EUR
TXN00000020,ORD0001350,CUST00486,2022-06-29 01:53:25,91.72,PayPal,Success,EUR
TXN00000021,ORD0002410,CUST00241,2022-09-04 21:06:35,860.71,PayPal,Success,USD
TXN00000022,ORD0001554,CUST00185,2024-01-29 21:58:20,1525.59,Debit Card,Success,EUR
TXN00000023,ORD0001793,CUST00480,2022-04-14 07:18:41,1906.6,Debit Card,Success,GBP
TXN00000024,ORD0000306,CUST00277,2022-10-12 20:06:09,1971.02,Credit Card,Success,GBP
TXN00000025,ORD0001358,CUST00127,2024-04-14 02:33:47,846.83,Bank Transfer,Success,GBP
TXN00000026,ORD0000081,CUST00268,2023-05-24 13:33:27,1901.02,Bank Transfer,Success,USD
TXN00000027,ORD0000189,CUST00029,2022-09-17 23:53:02,75.66,Credit Card,Success,GBP
TXN00000028,ORD0001786,CUST00426,2023-02-03 10:58:54,1493.1,Debit Card,Success,GBP
TXN00000029,ORD0001773,CUST00033,2024-11-23 18:00:02,1287.28,Credit Card,Success,USD
TXN00000030,ORD0001598,CUST00470,2024-12-15 16:11:42,502.8,Credit Card,Success,GBP
TXN00000031,ORD0001729,CUST00403,2023-09-11 14:08:28,1017.1,Bank Transfer,Success,GBP
TXN00000032,ORD0001101,CUST00128,2023-03-19 10:21:59,263.46,Credit Card,Success,GBP
TXN00000033,ORD0000377,CUST00212,2024-04-13 01:13:30,1743.84,Credit Card,Success,GBP
TXN00000034,ORD0000303,CUST00137,2023-03-21 23:13:06,719.01,Debit Card,Success,GBP
TXN00000035,ORD0000054,CUST00404,2023-03-19 06:33:54,1253.96,Debit Card,Success,GBP
TXN00000036,ORD0001610,CUST00063,2024-06-04 15:10:45,321.76,Debit Card,Success,GBP
TXN00000037,ORD0001520,CUST00169,2023-02-11 05:23:47,416.3,PayPal,Pending,GBP
TXN00000038,ORD0001226,CUST00324,2022-06-18 12:52:36,1983.95,Credit Card,Pending,GBP
TXN00000039,ORD0000355,CUST00267,2022-07-05 11:34:51,1507.41,PayPal,Success,EUR
TXN00000040,ORD0000370,CUST00102,2023-09-06 11:10:18,1924.13,Bank Transfer,Success,GBP
TXN00000041,ORD0000921,CUST00256,2022-11-10 23:48:26,595.22,Credit Card,Success,USD
TXN00000042,ORD0001156,CUST00147,2022-05-15 09:04:04,333.3,PayPal,Refunded,GBP
TXN00000043,ORD0000007,CUST00499,2024-05-11 18:34:42,1008.62,Credit Card,Success,GBP
TXN00000044,ORD0001831,CUST00410,2024-02-13 13:33:48,991.86,Credit Card,Success,GBP
TXN00000045,ORD0002219,CUST00233,2022-11-08 21:55:32,354.02,PayPal,Success,EUR
TXN00000046,ORD0001327,CUST00284,2022-07-17 11:11:30,1467.77,Bank Transfer,Success,GBP
TXN00000047,ORD0000412,CUST00304,2024-03-16 00:50:56,726.75,PayPal,Success,USD
TXN00000048,ORD0001634,CUST00494,2022-02-25 10:48:46,376.8,PayPal,Success,USD
TXN00000049,ORD0002423,CUST00493,2023-12-30 11:59:01,667.31,PayPal,Success,GBP
TXN00000050,ORD0001102,CUST00013,2024-01-14 19:41:44,1129.5,PayPal,Success,EUR
TXN00000051,ORD0001923,CUST00155,2022-06-19 20:38:09,1454.31,Debit Card,Pending,GBP
TXN00000052,ORD0000172,CUST00204,2022-06-23 01:32:24,966.37,Credit Card,Success,GBP
TXN00000053,ORD0002142,CUST00189,2022-12-22 04:30:23,1053.56,Bank Transfer,Success,GBP
